timestamp,epoch,train_g_loss,train_d_loss,test_psnr,test_ssim,best_psnr
2025-06-04 00:01:11,71,0.08027844346659017,0.0023153817175905434,22.999576386871873,0.7534494181717193,23.01231281073777
2025-06-04 00:15:59,72,0.08040872762882924,0.002321229651467977,22.942005966093156,0.7518113435773582,23.01231281073777
2025-06-04 00:30:50,73,0.08355600259152364,0.0033018790408687482,22.978292215120543,0.7519089984935481,23.01231281073777
2025-06-04 00:45:58,74,0.08064714627960232,0.0020195853734608984,22.940174991434272,0.7512968262279784,23.01231281073777
2025-06-04 01:00:26,75,0.08144268550053663,0.0025875938331559913,22.916664587034212,0.7510751155498144,23.01231281073777
2025-06-04 01:11:19,76,0.07898011559943836,0.0017155786022508086,22.965025938474216,0.7502584312554006,23.01231281073777
2025-06-04 01:21:50,77,0.07931773738538953,0.0018855575420944901,22.89473605155945,0.7520891285234398,23.01231281073777
2025-06-04 01:32:20,78,0.07920181222673739,0.0018129598419373897,22.970491114196243,0.7519698990704297,23.01231281073777
2025-06-04 01:42:50,79,0.07767224302543893,0.0012629282677413098,22.976691491120345,0.7527989890504551,23.01231281073777
2025-06-04 01:53:20,80,0.0781303671008252,0.0019837807974929073,23.013150787020063,0.7522132197668502,23.013150787020063
2025-06-04 02:03:49,81,0.07743243143372938,0.0013176411382948652,23.03274213850915,0.755723748173747,23.03274213850915
2025-06-04 02:14:18,82,0.07739103156104064,0.0016785395175927308,22.854405084690015,0.7500246188023707,23.03274213850915
2025-06-04 02:24:48,83,0.07682232468323412,0.0017413142537646977,23.010173035668327,0.7551154240028007,23.03274213850915
2025-06-04 02:35:18,84,0.07689692737281349,0.0009668055794823526,22.97870011763139,0.7521759303403901,23.03274213850915
2025-06-04 02:45:48,85,0.07660415634239247,0.0012018184115531966,22.977086860816794,0.7542355169991514,23.03274213850915
2025-06-04 02:56:16,86,0.07572923794838347,0.0010173060084695692,22.939468063674607,0.7505654859376121,23.03274213850915
2025-06-04 03:06:45,87,0.07854319642536964,0.003258620320044069,23.025355550792668,0.7552942625813551,23.03274213850915
2025-06-04 03:17:14,88,0.07541250637689688,0.0009756161536123338,23.0482829017239,0.7575626742172908,23.0482829017239
2025-06-04 03:27:44,89,0.07936679611123437,0.0017350475725354524,22.96733580936085,0.7544345979715561,23.0482829017239
2025-06-04 03:38:14,90,0.07527104195876834,0.0009145602381757491,22.991641513117543,0.7560042375242794,23.0482829017239
2025-06-04 03:48:43,91,0.07461198009013036,0.0009797931678214489,23.040415720506147,0.7569896175519569,23.0482829017239
2025-06-04 03:59:12,92,0.07732582454226347,0.0011287585967783254,22.91446218123803,0.7545772629913751,23.0482829017239
2025-06-04 04:09:42,93,0.07424362326325107,0.0009334028091161399,23.04238998973286,0.7563857205889442,23.0482829017239
2025-06-04 04:20:11,94,0.0754835208039853,0.0007362205180650382,22.99859019426199,0.7569419808321066,23.0482829017239
2025-06-04 04:30:42,95,0.07403710309561028,0.0009089367037861618,22.995803141093756,0.7564611473491976,23.0482829017239
2025-06-04 04:41:13,96,0.074089347221573,0.0010447302001021844,23.007352880664637,0.7566653826645204,23.0482829017239
2025-06-04 04:51:43,97,0.07841882113714274,0.0009412108890131464,23.02342751142862,0.7587844175058645,23.0482829017239
